Life expectancy ,Adult Mortality,GDP,Income composition of resources,Status
56.7,375,623.2871141,0.409,1
56.7,336,499.6468713,0.442,1
56.7,394,332.922339,0.459,1
56.7,366,1441.1417,0.507,1
56.7,337,21557.6528,0.583,1
56.8,33,231.1943256,0.361,1
56.8,33,437.4467238,0.371,1
56.8,271,835.88998,0.404,1
56.8,284,625.8392,0.434,1
56.8,356,839.181117,0.494,1
56.9,283,552.7455521,0.356,1
56.9,436,5714.47937,0.63,1
57,37,84.455939,0.343,1
57,415,196.59778,0.343,1
57,293,219.1413528,0.381,1
57,431,3881.29535,0.57,1
57.1,263,341.2894618,0.307,1
57.1,289,692.69989,0.41,1
57.1,283,76.535419,0.438,1
57.2,328,193.794956,0.346,1
57.2,27,777.3476868,0.411,1
57.2,38,263.1124679,0.48,1
57.3,297,436.6895539,0.376,1
57.3,291,25.2941299,0.396,1
57.3,295,272.56377,0.405,1
57.3,332,758.725782,0.421,1
57.3,275,777.659139,0.421,1
57.3,357,1244.429421,0.514,1
57.3,397,337.2253,0.635,1
57.4,325,768.176767,0.361,1
57.4,321,26.479973,0.385,1
57.4,323,487.9238913,0.449,1
57.4,39,273.6596668,0.485,1
57.4,368,1139.11233,0.518,1
57.4,41,257.99557,0.559,1
57.4,327,2246.9938,0.586,1
57.5,279,575.4464527,0.365,1
57.5,25,473.45338,0.378,1
57.5,295,369.835796,0.415,1
57.5,378,647.17732,0.464,1
57.5,427,5623.379566,0.646,1
57.6,328,342.3656294,0.404,1
57.6,355,528.3125597,0.414,1
57.6,285,67.7518833,0.416,1
57.6,278,82.1513498,0.444,1
57.6,377,354.7253961,0.466,1
57.6,31,39.484473,0.484,1
57.6,393,3598.75972,0.539,1
57.7,323,781.2322196,0.363,1
57.7,274,3.685949,0.401,1
57.8,291,438.7513346,0.38,1
57.8,272,825.5729915,0.43,1
57.9,283,245.939659,0,1
57.9,322,792.15412,0.372,1
57.9,251,481.287397,0.381,1
57.9,286,21.3733292,0.383,1
57.9,38,373.2815537,0.489,1
57.9,339,916.8992515,0.506,1
57.9,32,192.59733,0.582,1
58,386,135.9984455,0.268,1
58,434,369.1545359,0.341,1
58,437,377.132274,0.345,1
58,325,819.974118,0.378,1
58,312,265.285651,0.393,1
58,526,13.154199,0.479,1
58,399,111.227396,0.488,1
58,363,1463.213573,0.533,1
58,428,7362.76139,0.63,1
58.1,345,215.139213,0,1
58.1,275,666.842783,0.377,1
58.1,29,459.2912,0.385,1
58.1,326,864.184726,0.388,1
58.1,299,561.997387,0.412,1
58.1,279,61.566347,0.415,1
58.1,329,458.4651734,0.426,1
58.1,287,373.3611163,0.433,1
58.2,252,348.151511,0.312,1
58.2,266,729.725338,0.438,1
58.2,366,1644.619672,0.543,1
58.2,32,1347.31257,0.582,1
58.3,34,562.3393592,0.457,1
58.3,365,362.6575444,0.473,1
58.3,34,423.1936389,0.491,1
58.4,288,52.3485646,0.396,1
58.4,252,513.26227,0.397,1
58.4,282,642.6256154,0.419,1
58.4,259,793.45243,0.448,1
58.4,362,594.9972557,0.473,1
58.4,382,3464.35169,0.541,1
58.5,343,21.7687981,0,1
58.5,39,243.326822,0.362,1
58.5,273,321.22634,0.412,1
58.6,271,673.8227,0.384,1
58.6,281,232.61732,0.394,1
58.6,284,361.35843,0.394,1
58.6,318,94.7297489,0.396,1
58.6,33,282.7555252,0.398,1
58.6,281,445.8932979,0.434,1
58.6,35,462.486524,0.439,1
58.7,276,422.28633,0,1
58.7,32,387.9429725,0.45,1
58.7,254,757.695974,0.451,1
58.7,276,278.555732,0.456,1
58.8,343,232.7945459,0,1
58.8,284,54.169324,0.406,1
58.8,279,553.32894,0.448,1
58.9,283,377.5254454,0.399,1
58.9,335,631.9468526,0.418,1
58.9,275,596.8717189,0.421,1
58.9,35,413.7383164,0.443,1
58.9,294,563.6894247,0.464,1
58.9,296,498.172394,0.499,1
58.9,373,3136.92511,0.541,1
58.9,413,849.954224,0.638,1
59,27,699.452847,0.392,1
59,251,642.7663113,0.401,1
59,284,554.48766,0.414,1
59,386,1383.893354,0.481,1
59.1,342,287.4222243,0,1
59.1,297,312.7489794,0.404,1
59.1,39,965.6693779,0.405,1
59.1,331,539.41528,0.422,1
59.1,251,825.9427854,0.454,1
59.1,317,92.816252,0.514,1
59.2,277,33.667491,0.4,1
59.2,275,63.537231,0.454,1
59.2,296,643.951373,0.493,1
59.2,371,127.47462,0.498,1
59.2,349,1734.93612,0.554,1
59.2,48,7548.163698,0.644,1
59.2,393,5185.729845,0.661,1
59.3,268,75.1464113,0.398,1
59.3,273,339.676984,0.427,1
59.3,327,511.665773,0.428,1
59.3,33,393.16327,0.444,1
59.3,251,837.9551,0.458,1
59.3,271,262.2859481,0.462,1
59.3,347,584.3962137,0.477,1
59.4,34,276.75896,0,1
59.4,241,375.5819866,0.323,1
59.4,277,412.1517561,0.403,1
59.4,269,56.4249869,0.47,1
59.4,287,579.43485,0.47,1
59.4,288,922.9351677,0.51,1
59.5,272,375.8528566,0,1
59.5,272,395.9319363,0,1
59.5,271,433.2691451,0,1
59.5,272,669.959,0.463,1
59.5,251,915.2674586,0.466,1
59.6,271,544.566526,0,1
59.6,288,33.681223,0.406,1
59.6,278,477.738478,0.409,1
59.6,295,44.853339,0.424,1
59.6,321,588.3582595,0.433,1
59.7,272,327.42597,0.403,1
59.7,336,297.828588,0.405,1
59.7,247,733.581811,0.408,1
59.7,278,565.569459,0.415,1
59.7,3,329.782946,0.447,1
59.7,285,62.1318489,0.475,1
59.7,252,943.686575,0.475,1
59.7,315,412.55271,0.636,1
59.7,32,4892.11618,0.638,1
59.7,322,5685.577736,0.64,1
59.8,269,616.4197236,0,1
59.8,289,325.3825543,0.378,1
59.8,296,147.586896,0.416,1
59.8,37,3976.14887,0.633,1
59.9,26,615.592225,0.399,1
59.9,314,637.3616215,0.439,1
59.9,268,316.7998965,0.457,1
59.9,268,631.744976,0.47,1
59.9,271,612.696514,0.476,1
59.9,287,551.138346,0.484,1
59.9,28,19.686718,0.519,1
60,266,621.93372,0.434,1
60,23,477.476124,0.443,1
60,339,647.74741,0.477,1
